What is the capital of France?,Berlin,Madrid,Paris,Rome,C
"Which planet is known as the ""Red Planet?",Vunes,Mars,Jupiter ,Saturn,B
"Who wrote ""Romeo and Juliet""?",Charles Dickens,William Shakespeare, Jane Austen,Mark Twain,B
What is the largest mammal on Earth,Elephant,Giraffe,Gorilla,Blue Whale,D
In which year did Christopher Columbus reach the America?,1492,1607,1776,1850,A
What is the chemical symbol for gold?,Gd,Au,Ag,Fe,B
Who painted the Mona Lisa?,Vincent van Gogh,Leonardo da Vinci, Pablo Picasso,Claude Monet,B
Which programming language was created by Guido van Rossum?,Java,C++,Ruby,Python,D
What is the largest ocean on Earth?,Pacific Ocean,Indian Ocean,Southern Ocean,Atlantic Ocean,A
"Which element has the chemical symbol ""O""?",Osmium,Uranium,Oxygen,Octane,C
"Who wrote ""To Kill a Mockingbird""? ",J.K Rowling,Harper Lee,Ernest Hemingway,F.Scott Fitzgerald,B
What is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondrion,Endoplastic reticulum,C
In which year did the Titanic sink?,1912,1920,1931,1945,A
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,A
What is the currency of Japan?,Won,Ringgit,Yen,Baht,C
Which of the following is a primary color?,Green,Orange,Purple,Blue ,D
Who played the character of Iron Man in the MCU?,Chris Hemsworth,Robert Downey Jr.,Chris Evans,Mark Ruffalo,B
What is the largest organ in the human body?,Liver,Skin,Heart,Kidney,B
"Which country is known as the ""Land of the Rising Sun""?",Japan,South Korea ,Vietnam,China,A
What is the speed of light in a vacuum?,"1,000,000 km/s","500,000 km/s","700,000 km/s","300,000 km/s",D
